id,x,y,z
0,-0.08295010027700045,0.022269864421224007,0.727
1,-0.08192397553583414,-0.004692353354785634,0.75
2,-0.08093844170330945,-0.03223147845635965,0.777
3,-0.0798984899586629,-0.05829302557677738,0.8
4,-0.04587178722655774,0.023163091383064986,0.728
5,-0.044625901824489195,-0.004247086987146508,0.748
6,-0.04372391787592634,-0.03191117866678843,0.775
7,-0.042894830375456494,-0.05811657140423811,0.8
8,-0.008192028698394353,0.02407691036080926,0.724
9,-0.0074419316452297496,-0.0038510212437763668,0.75
10,-0.006415531973844105,-0.03134357088751207,0.771
11,-0.005473619828094105,-0.05840737889220328,0.8
12,0.029403927637378226,0.024466428446015476,0.721
13,0.030346374639507637,-0.00281484715061244,0.747
14,0.030996031085811743,-0.030212300745603778,0.772
15,0.031525981712735414,-0.05674052495033655,0.799
16,0.06704821189395177,0.02454104932435727,0.725
17,0.06728234050399635,-0.0018546639202026598,0.746
18,0.06799038000842374,-0.029649892565948282,0.771
19,0.06901883628049833,-0.05666471949388777,0.8
20,0.10342548407727324,0.02512385057197276,0.722
21,0.1041794755324349,-0.0018186327349805481,0.746
22,0.10477340852065507,-0.028398803510753256,0.772
23,0.10542717041657663,-0.05519139249404297,0.797
