x,y,z,qw,qx,qy,qz
0.37165625,-0.32809756,0.24568297,0.50544294,-0.49927878,0.49572383,0.49950577
0.37165603,-0.32810121,0.2456836,0.50544401,-0.49927732,0.49572278,0.4995072
0.37165581,-0.32810487,0.24568423,0.50544508,-0.49927584,0.49572172,0.49950864
0.37165558,-0.32810856,0.24568487,0.50544617,-0.49927435,0.49572065,0.4995101
0.37165534,-0.32811226,0.24568552,0.50544727,-0.49927283,0.49571956,0.49951157
0.3716551,-0.32811598,0.24568617,0.50544839,-0.4992713,0.49571846,0.49951307
0.37165485,-0.32811972,0.24568684,0.50544951,-0.49926975,0.49571735,0.49951458
0.37165459,-0.32812347,0.24568751,0.50545065,-0.49926819,0.49571623,0.4995161
0.37165433,-0.32812724,0.24568818,0.5054518,-0.49926661,0.49571509,0.49951765
0.37165406,-0.32813102,0.24568887,0.50545296,-0.49926501,0.49571394,0.49951921
0.37165378,-0.32813481,0.24568957,0.50545414,-0.49926339,0.49571278,0.49952079
0.37165349,-0.32813862,0.24569027,0.50545533,-0.49926175,0.49571161,0.49952239
0.3716532,-0.32814244,0.24569098,0.50545652,-0.4992601,0.49571042,0.499524
0.3716529,-0.32814627,0.24569169,0.50545774,-0.49925843,0.49570922,0.49952563
0.37165259,-0.32815011,0.24569242,0.50545896,-0.49925675,0.49570801,0.49952728
0.37165227,-0.32815397,0.24569315,0.50546019,-0.49925504,0.49570679,0.49952895
0.37165194,-0.32815783,0.24569389,0.50546144,-0.49925332,0.49570556,0.49953063
0.37165161,-0.3281617,0.24569464,0.5054627,-0.49925159,0.49570432,0.49953233
0.37165127,-0.32816557,0.24569539,0.50546397,-0.49924983,0.49570306,0.49953404
0.37165092,-0.32816946,0.24569615,0.50546525,-0.49924806,0.49570179,0.49953577
0.37165057,-0.32817335,0.24569692,0.50546655,-0.49924627,0.49570051,0.49953752
0.37165021,-0.32817724,0.2456977,0.50546785,-0.49924447,0.49569922,0.49953929
0.37164983,-0.32818114,0.24569848,0.50546917,-0.49924265,0.49569791,0.49954107
0.37164946,-0.32818504,0.24569928,0.5054705,-0.49924081,0.4956966,0.49954287
0.37164907,-0.32818895,0.24570008,0.50547184,-0.49923895,0.49569527,0.49954468
0.37164867,-0.32819286,0.24570088,0.50547319,-0.49923708,0.49569393,0.49954651
0.37164827,-0.32819677,0.2457017,0.50547455,-0.4992352,0.49569258,0.49954836
0.37164786,-0.32820068,0.24570252,0.50547592,-0.49923329,0.49569122,0.49955023
0.37164744,-0.32820459,0.24570334,0.50547731,-0.49923137,0.49568985,0.49955211
0.37164701,-0.3282085,0.24570418,0.5054787,-0.49922943,0.49568846,0.499554
0.37164657,-0.32821241,0.24570502,0.50548011,-0.49922748,0.49568707,0.49955591
0.37164613,-0.32821631,0.24570587,0.50548153,-0.49922551,0.49568566,0.49955784
0.37164568,-0.32822022,0.24570673,0.50548296,-0.49922353,0.49568424,0.49955979
0.37164521,-0.32822412,0.24570759,0.5054844,-0.49922152,0.49568281,0.49956175
0.37164474,-0.32822801,0.24570847,0.50548585,-0.49921951,0.49568137,0.49956373
0.37164427,-0.32823191,0.24570934,0.50548731,-0.49921747,0.49567992,0.49956572
0.37164378,-0.32823579,0.24571023,0.50548879,-0.49921542,0.49567846,0.49956773
0.37164329,-0.32823967,0.24571112,0.50549027,-0.49921336,0.49567698,0.49956975
0.37164278,-0.32824354,0.24571202,0.50549177,-0.49921128,0.4956755,0.49957179
0.37164227,-0.3282474,0.24571293,0.50549327,-0.49920918,0.495674,0.49957385
