id,x,y,z
0,0.027345164809271218,0.21277143695715806,0.747
1,0.02639972171317041,0.19455534204729164,0.782
2,0.025709585046887185,0.17525386111047384,0.815
3,0.0244325724830458,0.1576930697414656,0.859
4,0.06583004531338345,0.21172914631483936,0.749
5,0.06550315255806609,0.1941193722250137,0.785
6,0.06478945405659155,0.17524903590785254,0.818
7,0.06438700188947576,0.15642077916502123,0.861
8,0.10386547684926976,0.21112576003615047,0.749
9,0.10383249030733388,0.1929645713803122,0.785
10,0.10313570528586717,0.17268432135892436,0.817
11,0.10376817183303243,0.15502866366196733,0.861
12,0.1426839847609496,0.21147214572280654,0.758
13,0.1436212163036678,0.19417448202483975,0.796
14,0.14299855073188,0.1734232677820536,0.827
15,0.14544446069368747,0.15666477977445034,0.878
16,0.18002217248701255,0.20886395420256376,0.76
17,0.17933783906846748,0.1903650619532392,0.789
18,0.18215313742845218,0.1732357268266664,0.834
19,0.18409156203334434,0.15568712668234888,0.878
20,0.21514317293706609,0.20597926258270882,0.76
21,0.22025485714904217,0.19135545413333785,0.807
22,0.2191408504161894,0.1719148973245204,0.836
23,0.22087759161622017,0.15364502172585992,0.8745
